"No.","Time","Source","Destination","Protocol","Length","Info"
"40","0.322445931","34.96.118.58","192.168.1.196","TCP","66","443  >  34834 [ACK] Seq=1 Ack=1903 Win=267264 Len=0 TSval=3032609429 TSecr=4134288240"
"41","0.322445989","34.96.118.58","192.168.1.196","TLSv1.3","2114","Server Hello, Change Cipher Spec"
"42","0.322446008","34.96.118.58","192.168.1.196","TCP","2114","443  >  34834 [PSH, ACK] Seq=2049 Ack=1903 Win=267264 Len=2048 TSval=3032609432 TSecr=4134288240 [TCP PDU reassembled in 43]"
"43","0.322446027","34.96.118.58","192.168.1.196","TLSv1.3","601","Application Data"
"44","0.322446046","34.96.118.58","192.168.1.196","TCP","66","443  >  34850 [ACK] Seq=1 Ack=1401 Win=267520 Len=0 TSval=3354010360 TSecr=4134288244"
"45","0.322511979","192.168.1.196","34.96.118.58","TCP","66","34834  >  443 [ACK] Seq=1903 Ack=2049 Win=63488 Len=0 TSval=4134288250 TSecr=3032609432"
"46","0.322619654","192.168.1.196","34.96.118.58","TCP","66","34834  >  443 [ACK] Seq=1903 Ack=4097 Win=61568 Len=0 TSval=4134288251 TSecr=3032609432"
"47","0.322652083","192.168.1.196","34.96.118.58","TCP","66","34834  >  443 [ACK] Seq=1903 Ack=4632 Win=61056 Len=0 TSval=4134288251 TSecr=3032609432"
"48","0.322684157","34.96.118.58","192.168.1.196","TCP","66","443  >  34850 [ACK] Seq=1 Ack=1903 Win=267264 Len=0 TSval=3354010360 TSecr=4134288244"
"49","0.322684221","192.168.1.1","192.168.1.196","DNS","111","Standard query response 0xea00 A www.googletagmanager.com A 142.250.75.104 OPT"
"50","0.322684241","192.168.1.1","192.168.1.196","DNS","123","Standard query response 0x7fad AAAA www.googletagmanager.com AAAA 2a00:1450:4028:806::2008 OPT"
"51","0.322684260","192.168.1.1","192.168.1.196","DNS","155","Standard query response 0x1a60 HTTPS www.googletagmanager.com SOA ns1.google.com OPT"
"52","0.324121327","34.96.118.58","192.168.1.196","TLSv1.3","2114","Server Hello, Change Cipher Spec"
"53","0.324121738","192.168.1.1","192.168.1.196","DNS","168","Standard query response 0x4c6b A cdn.jsdelivr.net CNAME cdn.jsdelivr.net.cdn.cloudflare.net A 104.18.186.31 A 104.18.187.31 OPT"
"54","0.324121757","34.96.118.58","192.168.1.196","TCP","2114","443  >  34850 [PSH, ACK] Seq=2049 Ack=1903 Win=267264 Len=2048 TSval=3354010363 TSecr=4134288244 [TCP PDU reassembled in 55]"
"55","0.324121774","34.96.118.58","192.168.1.196","TLSv1.3","601","Application Data"
"56","0.324153933","192.168.1.196","34.96.118.58","TCP","66","34850  >  443 [ACK] Seq=1903 Ack=2049 Win=63488 Len=0 TSval=4134288252 TSecr=3354010363"
"57","0.324338674","192.168.1.196","34.96.118.58","TCP","66","34850  >  443 [ACK] Seq=1903 Ack=4097 Win=61568 Len=0 TSval=4134288252 TSecr=3354010363"
"58","0.324407259","192.168.1.196","34.96.118.58","TCP","66","34850  >  443 [ACK] Seq=1903 Ack=4632 Win=61056 Len=0 TSval=4134288252 TSecr=3354010363"
"59","0.324491378","192.168.1.1","192.168.1.196","DNS","192","Standard query response 0x0fed AAAA cdn.jsdelivr.net CNAME cdn.jsdelivr.net.cdn.cloudflare.net AAAA 2606:4700::6812:ba1f AAAA 2606:4700::6812:bb1f OPT"
"60","0.324491509","192.168.1.1","192.168.1.196","DNS","208","Standard query response 0x0728 HTTPS cdn.jsdelivr.net CNAME cdn.jsdelivr.net.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"61","0.325043596","192.168.1.196","192.168.1.1","DNS","106","Standard query 0x6034 HTTPS cdn.jsdelivr.net.cdn.cloudflare.net OPT"
