"No.","Time","Source","Destination","Protocol","Length","Info"
"89","0.596343107","2a00:1450:400c:c0a::54","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","[TCP ACKed unseen segment] 443  >  57350 [ACK] Seq=1 Ack=2 Win=1047 Len=0 TSval=2045569112 TSecr=4071599321"
"90","0.599714731","144.195.42.38","192.168.1.196","UDP","1215","8801  >  52088 Len=1173"
"91","0.606532868","144.195.42.38","192.168.1.196","UDP","154","8801  >  54482 Len=112"
"92","0.609955984","144.195.42.38","192.168.1.196","UDP","1215","8801  >  52088 Len=1173"
"93","0.619828676","144.195.42.38","192.168.1.196","UDP","1214","8801  >  52088 Len=1172"
"94","0.626775632","144.195.42.38","192.168.1.196","UDP","146","8801  >  54482 Len=104"
"95","0.630040540","144.195.42.38","192.168.1.196","UDP","1214","8801  >  52088 Len=1172"
"96","0.630040889","144.195.42.38","192.168.1.196","UDP","1214","8801  >  52088 Len=1172"
"97","0.647510167","144.195.42.38","192.168.1.196","UDP","146","8801  >  54482 Len=104"
"98","0.657276372","192.168.1.149","224.0.0.251","MDNS","86","Standard query 0x0000 ANY kokilida._dosvc._tcp.local, ""QM"" question"
"99","0.658188190","fe80::8a2d:1ab:f935:f395","ff02::fb","MDNS","106","Standard query 0x0000 ANY kokilida._dosvc._tcp.local, ""QM"" question"
"100","0.658188370","144.195.42.38","192.168.1.196","UDP","136","8801  >  54482 Len=94"
"101","0.668636460","144.195.42.38","192.168.1.196","UDP","143","8801  >  54482 Len=101"
"102","0.670593619","144.195.42.38","192.168.1.196","UDP","1131","8801  >  52088 Len=1089"
"103","0.678830618","192.168.1.196","144.195.42.38","UDP","165","54482  >  8801 Len=123"
"104","0.680593350","144.195.42.38","192.168.1.196","UDP","1130","8801  >  52088 Len=1088"
"105","0.680705343","144.195.42.38","192.168.1.196","UDP","1130","8801  >  52088 Len=1088"
"106","0.688203858","144.195.42.38","192.168.1.196","UDP","144","8801  >  54482 Len=102"
"107","0.708170624","144.195.42.38","192.168.1.196","UDP","144","8801  >  54482 Len=102"
"108","0.708626214","192.168.1.196","144.195.42.38","UDP","195","52088  >  8801 Len=153"
"109","0.722347351","144.195.42.38","192.168.1.196","UDP","1117","8801  >  52088 Len=1075"
